id;employee_biometric_id;input_type;attendance_type;temperature;log_date;log_time;employee_id
1;22550;mindshare Applications hack;Rubber monitoring;Burundi;expedite;Home Bahamas Gorgeous;1
2;32719;Dollar;redundant;Shoes;Pa'anga;heuristic;2
3;63452;capacitor invoice;matrix Chicken;hacking;infomediaries Metal;Savings;2
4;96936;intuitive Buckinghamshire compressing;lime application violet;Mississippi;digital context-sensitive;Concrete auxiliary payment;2
5;73861;navigate calculating networks;French Cameroon;Avenue morph SDD;Metal Iowa;Sleek content synthesize;1
6;36319;streamline Ergonomic;Architect Michigan Dynamic;input;Garden Operative Universal;Savings indexing;2
7;46905;override B2C Forward;Landing;enhance;Officer magnetic;Visionary;2
8;89029;Cross-platform Dynamic;neural;Architect Communications;teal drive Operative;deposit transform leading;2
9;93970;teal hacking;deposit e-enable radical;Chips;Field ADP;bypass mission-critical Toys;1
10;93347;Rubber Strategist;responsive Practical;methodical Sleek;Vista;azure;2
