id;name;date;description;employee_id
1;capacitor deposit Cambridgeshire;2021-12-30;Pizza innovative Identity;1
2;Tennessee;2021-12-31;Planner invoice;2
3;Bike Marks;2021-12-30;Village;1
4;Soap;2021-12-30;Roads synergize open-source;1
5;tan purple;2021-12-30;Dollar encompassing;1
6;Expanded;2021-12-31;Corporate;2
7;encryption solid Alaska;2021-12-30;Spain;1
8;quantifying program;2021-12-30;disintermediate Cotton Wooden;1
9;fuchsia;2021-12-30;Chair;1
10;Ecuador info-mediaries Pizza;2021-12-30;applications;1
